"","CDS","Name","Subgroup","Year","NumCohort","NumGrad","GradRate"
"84","10622810000000","Laton Joint Unified","Asian",6,NA,NA,1
"85","10622810000000","Laton Joint Unified","Latino",6,37,25,0.6757
"86","10622810000000","Laton Joint Unified","White",6,NA,NA,0.9
"87","10623640000000","Parlier Unified","All",6,231,203,0.8788
"88","10623640000000","Parlier Unified","EL",6,159,136,0.8553
"89","10623640000000","Parlier Unified","FEM",6,105,96,0.9143
"90","10623640000000","Parlier Unified","MAL",6,126,107,0.8492
"91","10623640000000","Parlier Unified","MIG",6,53,41,0.7736
"92","10623640000000","Parlier Unified","SD",6,230,202,0.8783
"93","10623640000000","Parlier Unified","SE",6,25,17,0.68
"94","10623640000000","Parlier Unified","Asian",6,NA,NA,0.6667
"95","10623640000000","Parlier Unified","Latino",6,227,201,0.8855
"96","10623640000000","Parlier Unified","White",6,NA,NA,0
"97","10624140000000","Sanger Unified","All",6,684,653,0.9547
"98","10624140000000","Sanger Unified","EL",6,150,140,0.9333
"99","10624140000000","Sanger Unified","FEM",6,352,341,0.9688
"100","10624140000000","Sanger Unified","MAL",6,332,312,0.9398
"101","10624140000000","Sanger Unified","MIG",6,21,19,0.9048
"102","10624140000000","Sanger Unified","SD",6,579,552,0.9534
"103","10624140000000","Sanger Unified","SE",6,47,37,0.7872
"104","10624140000000","Sanger Unified","Asian",6,60,59,0.9833
"105","10624140000000","Sanger Unified","Latino",6,515,493,0.9573
"106","10624140000000","Sanger Unified","Black",6,NA,NA,1
"107","10624140000000","Sanger Unified","White",6,90,83,0.9222
"108","10624300000000","Selma Unified","All",6,415,386,0.9301
"109","10624300000000","Selma Unified","EL",6,145,131,0.9034
"110","10624300000000","Selma Unified","FEM",6,220,207,0.9409
"111","10624300000000","Selma Unified","MAL",6,195,179,0.9179
"112","10624300000000","Selma Unified","MIG",6,20,18,0.9
"113","10624300000000","Selma Unified","SD",6,358,331,0.9246
"114","10624300000000","Selma Unified","SE",6,31,24,0.7742
"115","10624300000000","Selma Unified","Asian",6,16,15,0.9375
"116","10624300000000","Selma Unified","Latino",6,357,332,0.93
"117","10624300000000","Selma Unified","Black",6,NA,NA,0.7143
"118","10624300000000","Selma Unified","White",6,29,29,1
"119","10738090000000","Firebaugh-Las Deltas Unified","All",6,171,165,0.9649
"120","10738090000000","Firebaugh-Las Deltas Unified","EL",6,54,50,0.9259
"121","10738090000000","Firebaugh-Las Deltas Unified","FEM",6,76,75,0.9868
"122","10738090000000","Firebaugh-Las Deltas Unified","MAL",6,95,90,0.9474
"123","10738090000000","Firebaugh-Las Deltas Unified","MIG",6,38,37,0.9737
"124","10738090000000","Firebaugh-Las Deltas Unified","SD",6,159,153,0.9623
"125","10738090000000","Firebaugh-Las Deltas Unified","SE",6,11,NA,0.9091
"126","10738090000000","Firebaugh-Las Deltas Unified","Latino",6,155,150,0.9677
"127","10738090000000","Firebaugh-Las Deltas Unified","Black",6,NA,NA,1
"128","10738090000000","Firebaugh-Las Deltas Unified","White",6,15,14,0.9333
"129","10739650000000","Central Unified","All",6,1018,859,0.8438
"130","10739650000000","Central Unified","EL",6,154,112,0.7273
"131","10739650000000","Central Unified","FEM",6,520,461,0.8865
"132","10739650000000","Central Unified","MAL",6,498,398,0.7992
"133","10739650000000","Central Unified","MIG",6,33,30,0.9091
"134","10739650000000","Central Unified","SD",6,775,638,0.8232
"135","10739650000000","Central Unified","SE",6,105,64,0.6095
"136","10739650000000","Central Unified","Asian",6,144,120,0.8333
"137","10739650000000","Central Unified","Latino",6,529,452,0.8544
"138","10739650000000","Central Unified","Black",6,109,86,0.789
"139","10739650000000","Central Unified","White",6,210,176,0.8381
"140","10739990000000","Kerman Unified","All",6,304,265,0.8717
"141","10739990000000","Kerman Unified","EL",6,92,81,0.8804
"142","10739990000000","Kerman Unified","FEM",6,153,139,0.9085
"143","10739990000000","Kerman Unified","MAL",6,151,126,0.8344
"144","10739990000000","Kerman Unified","MIG",6,27,22,0.8148
"145","10739990000000","Kerman Unified","SD",6,278,240,0.8633
"146","10739990000000","Kerman Unified","SE",6,24,15,0.625
"147","10739990000000","Kerman Unified","Asian",6,20,20,1
"148","10739990000000","Kerman Unified","Latino",6,252,218,0.8651
"149","10739990000000","Kerman Unified","White",6,30,25,0.8333
"150","10751270000000","Mendota Unified","All",6,187,159,0.8503
"151","10751270000000","Mendota Unified","EL",6,161,135,0.8385
"152","10751270000000","Mendota Unified","FEM",6,74,68,0.9189
"153","10751270000000","Mendota Unified","MAL",6,113,91,0.8053
"154","10751270000000","Mendota Unified","MIG",6,37,31,0.8378
"155","10751270000000","Mendota Unified","SD",6,185,158,0.8541
"156","10751270000000","Mendota Unified","SE",6,NA,NA,0.5
"157","10751270000000","Mendota Unified","Asian",6,NA,NA,1
"158","10751270000000","Mendota Unified","Latino",6,180,153,0.85
"159","10751270000000","Mendota Unified","White",6,NA,NA,1
"160","10752340000000","Golden Plains Unified","All",6,120,100,0.8333
"161","10752340000000","Golden Plains Unified","EL",6,72,60,0.8333
"162","10752340000000","Golden Plains Unified","FEM",6,60,52,0.8667
"163","10752340000000","Golden Plains Unified","MAL",6,60,48,0.8
"164","10752340000000","Golden Plains Unified","MIG",6,31,28,0.9032
"165","10752340000000","Golden Plains Unified","SD",6,120,100,0.8333
"166","10752340000000","Golden Plains Unified","SE",6,NA,NA,0.6667
"167","10752340000000","Golden Plains Unified","Asian",6,NA,NA,1
"168","10752340000000","Golden Plains Unified","Latino",6,117,98,0.8376
"169","10752340000000","Golden Plains Unified","White",6,NA,NA,0
"170","10752750000000","Sierra Unified","All",6,143,126,0.8811
"171","10752750000000","Sierra Unified","EL",6,NA,NA,1
"172","10752750000000","Sierra Unified","FEM",6,71,66,0.9296
"173","10752750000000","Sierra Unified","MAL",6,72,60,0.8333
"174","10752750000000","Sierra Unified","SD",6,69,59,0.8551
"175","10752750000000","Sierra Unified","SE",6,19,NA,0.4737
"176","10752750000000","Sierra Unified","Asian",6,NA,NA,0.5
"177","10752750000000","Sierra Unified","Latino",6,22,17,0.7727
"178","10752750000000","Sierra Unified","Black",6,NA,NA,1
"179","10752750000000","Sierra Unified","White",6,93,85,0.914
